,date,상한가
0,20160817,"['삼본전자', '흥국']"
1,20160818,"['미래SCI', '세미콘라이트', '신화콘텍', '케이엔더블유']"
2,20160819,['헝셩그룹']
3,20160822,"['켐트로스', '코디엠', '한국맥널티']"
4,20160823,"['솔트웍스', '와이제이엠게임즈', '코디엠']"
5,20160824,['수성']
6,20160825,['토박스코리아']
7,20160829,['KB오토시스']
8,20160830,['지어소프트']
9,20160901,"['디알텍', '켐트로스']"
10,20160905,"['제룡전기', '헝셩그룹']"
11,20160907,['바른손']
12,20160908,"['보광산업', '지엔코', '코미팜']"
13,20160909,"['에코바이오', '유라테크', '지엔코', '큐로홀딩스']"
14,20160912,"['대주산업', '에스와이', '유아이디', '큐캐피탈', '파인디앤씨']"
15,20160913,['파인디앤씨']
16,20160919,"['EG', '감마누', '세명전기', '씨씨에스']"
17,20160920,"['대창스틸', '삼강엠앤티', '삼영엠텍', '세명전기', '파인디앤씨']"
18,20160921,"['대동스틸', '대창스틸', '버추얼텍', '삼영엠텍', '코리아에스이', '피앤씨테크']"
19,20160922,"['서암기계공업', '서울제약', '에이치엘비생명과학']"
20,20160923,"['승일', '이에스에이', '이원컴포텍', '파인디앤씨', '파인테크닉스']"
21,20160926,"['YBM넷', '스카이문스테크놀로지', '에이치엘비생명과학']"
22,20160927,"['YBM넷', '서암기계공업', '아이앤씨']"
23,20160928,"['동국알앤에스', '비엠티', '티플랙스']"
24,20160929,"['비츠로테크', '서전기전', '케이에스피']"
25,20160930,"['케이에스피', '티플랙스']"
26,20161004,['나노']
27,20161005,"['대림제지', '케이에스피']"
28,20161006,"['삼지전자', '에이테크솔루션', '이매진아시아', '파인디앤씨']"
29,20161007,"['바른손이앤에이', '조이시티']"
30,20161010,"['손오공', '유니트론텍']"
31,20161011,['로지시스']
32,20161012,"['캔서롭', '켐트로스', '한일네트웍스']"
33,20161013,"['서산', '파라텍', '판타지오']"
34,20161014,"['서산', '인포마크']"
35,20161017,['미투온']
36,20161020,['골든센츄리']
37,20161021,['에이치시티']
38,20161024,"['유아이디', '잉글우드랩']"
39,20161025,['유니테크노']
40,20161027,['서연탑메탈']
41,20161028,['비엠티']
42,20161031,"['동일철강', '세동']"
43,20161101,"['광진윈텍', '엠에스씨', '홈캐스트']"
44,20161102,['미투온']
45,20161103,"['에이텍티앤', '조광ILI', '파워넷']"
46,20161107,"['에스와이', '퓨쳐스트림네트웍스']"
47,20161108,"['골든센츄리', '양지사', '에이치엘사이언스', '에이프로젠 H&G']"
48,20161109,"['빅텍', '스페코', '에이프로젠 H&G', '엘컴텍']"
49,20161110,"['서연탑메탈', '코데즈컴바인', '파워넷']"
50,20161114,"['광진윈텍', '솔루에타', '제일테크노스', '조광ILI', '파워넷']"
51,20161115,"['에스텍', '잉글우드랩']"
52,20161116,"['글로스퍼랩스', '솔고바이오', '에이루트', '퓨쳐스트림네트웍스', '프리엠스']"
53,20161117,"['동신건설', '토탈소프트']"
54,20161118,"['에이루트', '파버나인']"
55,20161121,"['티플랙스', '퓨쳐스트림네트웍스']"
56,20161122,"['S&K폴리텍', '정다운']"
57,20161123,"['서연탑메탈', '쏠리드']"
58,20161124,"['네이처셀', '씨엔플러스', '한류AI센터']"
59,20161125,"['GH신소재', '씨엔플러스', '프리엠스']"
60,20161128,"['골든센츄리', '제낙스']"
61,20161129,['지엘팜텍']
62,20161130,"['코디엠', '퓨쳐스트림네트웍스']"
63,20161201,['쏠리드']
64,20161202,"['로지시스', '씨엔플러스', '한국팩키지']"
65,20161205,"['제넨바이오', '제이엠티']"
66,20161206,"['NE능률', '세종텔레콤', '아이에스이커머스']"
67,20161207,['리노스']
68,20161208,['인터엠']
69,20161209,['대성파인텍']
70,20161212,"['광림', '디엠티', '지엔코']"
71,20161213,"['애니젠', '중앙오션']"
72,20161214,['마이크로컨텍솔']
73,20161215,"['보광산업', '우수AMS', '육일씨엔에쓰', '제넨바이오']"
74,20161216,"['TS인베스트먼트', '삼영엠텍', '큐로홀딩스']"
75,20161219,['한일사료']
76,20161220,['마이크로컨텍솔']
