,date,상한가,다음날수익률
0,20180409,['삼일제약'],[]
1,20180411,"['체시스', '필룩스']",[]
2,20180413,['컨버즈'],[]
3,20180416,"['도화엔지니어링', '컨버즈']",[]
4,20180417,"['넥스트사이언스', '이엔플러스']",[]
5,20180418,['코아스'],[]
6,20180419,"['남광토건', '다스코', '범양건영', '한라', '한일현대시멘트']",[]
7,20180420,['금호에이치티'],[]
8,20180423,"['삼부토건', '수산중공업', '일성건설', '한국석유공업', '혜인']",[]
9,20180425,['퍼스텍'],[]
10,20180430,"['대호에이엘', '동아지질', '동양철관', '부산산업', '하이스틸', '한국석유공업', '한라', '현대로템']",[]
11,20180502,"['경농', '부산산업', '조비', '체시스']",[]
12,20180503,"['부산산업', '컨버즈', '콤텍시스템']",[]
13,20180504,"['선창산업', '이건산업', '전방', '한솔홈데코']",[]
14,20180508,"['남선알미늄', '부산산업', '조선선재']",[]
15,20180509,['파미셀'],[]
16,20180510,"['국보', '알루코']",[]
17,20180514,"['대원전선', '성신양회', '한일현대시멘트', '현대종합상사', '현대코퍼레이션홀딩스']",[]
18,20180515,"['대양금속', '대한전선', '만호제강']",[]
19,20180516,['대양금속'],[]
20,20180517,['보락'],[]
21,20180518,"['깨끗한나라', '보락']",[]
22,20180521,"['깨끗한나라', '우리종금']",[]
23,20180523,['우리종금'],[]
24,20180524,"['우진', '폴루스바이오팜']",[]
25,20180528,"['계룡건설산업', '광명전기', '국보', '남광토건', '남해화학', '대원전선', '대호에이엘', '도화엔지니어링', '동아지질', '동양철관', '부산산업', '선도전기', '성신양회', '신원', '쌍용양회공업', '인디에프', '일성건설', '일신석재', '조비', '조선선재', '하이스틸', '한라', '한일현대시멘트', '한일홀딩스', '현대건설', '현대로템', '현대엘리베이터', '현대종합상사', '혜인']",[]
26,20180529,"['부산산업', '이스타코']",[]
27,20180530,"['대호에이엘', '이스타코']",[]
28,20180531,"['KEC', '한국석유공업']",[]
29,20180604,"['국보', '웰바이오텍']",[]
30,20180605,['퍼스텍'],[]
31,20180607,"['STX엔진', '인스코비', '큐로']",[]
32,20180611,"['마니커', '비티원', '조비', '한일현대시멘트']",[]
33,20180612,['마니커'],[]
34,20180614,['삼일제약'],[]
35,20180615,"['경농', '태원물산']",[]
36,20180618,"['문배철강', '휴스틸']",[]
37,20180619,['동방'],[]
38,20180620,"['부국철강', '삼화전기']",[]
39,20180621,['동원수산'],[]
40,20180622,['마니커'],[]
41,20180625,['평화산업'],[]
42,20180629,['세원셀론텍'],[]
43,20180702,['STX엔진'],[]
44,20180703,['넥스트사이언스'],[]
45,20180704,"['넥스트사이언스', '필룩스']",[]
46,20180709,"['동원수산', '삼화전자공업', '샘표', '샘표식품']",[]
47,20180710,['삼영화학공업'],[]
48,20180711,['부산산업'],[]
49,20180712,['한성기업'],[]
50,20180716,['신일전자'],[]
51,20180724,['부산산업'],[]
52,20180726,"['남광토건', '조비']",[]
53,20180801,['한국화장품제조'],[]
54,20180802,['삼아알미늄'],[]
55,20180823,['동성제약'],[]
56,20180903,['청호컴넷'],[]
57,20180906,['이건산업'],[]
58,20180910,"['진원생명과학', '한국내화']",[]
59,20180917,"['샘표', '한국내화']",[]
60,20180921,['제일약품'],[]
61,20180927,['삼일제약'],[]
62,20180928,['오리엔트바이오'],[]
63,20181012,['디피씨'],[]
64,20181015,['디피씨'],[]
65,20181016,"['수산중공업', '유니온']",[]
66,20181017,['쎌마테라퓨틱스'],[]
67,20181018,"['보해양조', '한창제지']",[]
68,20181019,['진양화학'],[]
69,20181022,['컨버즈'],[]
70,20181023,['경농'],[]
71,20181024,['우진플라임'],[]
72,20181025,['엔케이물산'],[]
73,20181029,['금호에이치티'],[]
74,20181030,['부산산업'],[]
75,20181101,['한창'],[]
76,20181102,"['대동전자', '키다리스튜디오']",[]
77,20181105,['유한양행'],[]
78,20181109,['대유에이텍'],[]
79,20181113,['한일홀딩스'],[]
80,20181115,['토니모리'],[]
81,20181121,['에이블씨엔씨'],[]
82,20181122,['일성신약'],[]
83,20181126,['한국종합기술'],[]
84,20181203,"['남선알미늄', '태원물산']",[]
85,20181204,['남성'],[]
86,20181205,"['이월드', '진양산업']",[]
87,20181206,['SG충방'],[]
88,20181210,['경인전자'],[]
89,20181212,"['대우부품', '평화홀딩스']",[]
90,20181217,['웰바이오텍'],[]
91,20181219,"['삼화전기', '에넥스']",[]
92,20181224,['대원화성'],[]
93,20190103,['인디에프'],[]
94,20190107,['KG동부제철'],[]
95,20190108,['KG동부제철'],[]
96,20190109,['삼성출판사'],[]
97,20190110,['웰바이오텍'],[]
98,20190111,['한국내화'],[]
99,20190114,"['경농', '유니온', '한창제지']",[]
100,20190115,"['STX', '한진중공업', '한진중공업홀딩스']",[]
101,20190116,"['도화엔지니어링', '삼성출판사']",[]
102,20190118,['대우부품'],[]
103,20190121,"['인지컨트롤스', '일진다이아']",[]
104,20190122,['경인전자'],[]
105,20190124,['파미셀'],[]
106,20190129,['우진플라임'],[]
107,20190131,['용평리조트'],[]
108,20190201,['용평리조트'],[]
109,20190207,['우진'],[]
110,20190208,['KG동부제철'],[]
111,20190212,"['DSR', 'DSR제강']",[]
112,20190219,['한창'],[]
113,20190221,['사조동아원'],[]
114,20190312,['국보'],[]
115,20190318,['국보'],[]
116,20190325,['폴루스바이오팜'],[]
117,20190327,['국제약품'],[]
118,20190403,"['부산주공', '코아스']",[]
119,20190404,"['에이프로젠 KIC', '이아이디']",[]
120,20190405,['비케이탑스'],[]
121,20190411,"['아시아나IDT', '에어부산']",[]
122,20190412,"['아시아나항공', '한진칼']",[]
123,20190415,"['경인전자', '금호산업', '아시아나IDT', '아시아나항공', '에어부산', '한익스프레스']",[]
124,20190416,"['CJ씨푸드', '청호컴넷']",[]
125,20190417,['KC코트렐'],[]
126,20190418,['마니커'],[]
127,20190422,['CJ씨푸드'],[]
128,20190423,['우성사료'],[]
129,20190426,"['대창', '이구산업', '화인베스틸']",[]
130,20190429,['동성제약'],[]
131,20190502,['진흥기업'],[]
132,20190503,['진흥기업'],[]
133,20190507,['태림포장'],[]
134,20190509,['대창'],[]
135,20190510,['대창'],[]
136,20190513,['남성'],[]
137,20190514,['남성'],[]
138,20190515,"['덕양산업', '보해양조']",[]
139,20190521,"['유니온', '이엔플러스']",[]
140,20190522,"['DSR', '대한방직', '쌍방울']",[]
141,20190523,['유니온머티리얼'],[]
142,20190524,['흥아해운'],[]
143,20190530,['아시아나IDT'],[]
144,20190531,['체시스'],[]
145,20190607,['태경비케이'],[]
146,20190610,['이아이디'],[]
147,20190611,['고려산업'],[]
148,20190612,['SG세계물산'],[]
149,20190614,['동성제약'],[]
150,20190617,"['이아이디', '콤텍시스템']",[]
151,20190618,"['이엔플러스', '키위미디어그룹', '평화산업']",[]
152,20190619,"['국보', '미래산업']",[]
153,20190621,"['고려산업', '국보']",[]
154,20190624,"['국보', '남성']",[]
155,20190625,"['국동', '웰바이오텍']",[]
156,20190627,['화천기계'],[]
157,20190703,['국보'],[]
158,20190704,['모나미'],[]
159,20190710,['KG동부제철'],[]
160,20190711,['인디에프'],[]
161,20190715,"['키다리스튜디오', '후성']",[]
162,20190716,"['JW홀딩스', '삼화전기']",[]
163,20190719,['갤럭시아에스엠'],[]
164,20190722,['삼화페인트공업'],[]
165,20190723,['남영비비안'],[]
166,20190724,"['남영비비안', '미래산업', '키위미디어그룹']",[]
167,20190725,['남영비비안'],[]
168,20190726,"['경인양행', '남영비비안']",[]
169,20190729,"['남영비비안', '모나미', '하이트진로홀딩스']",[]
170,20190730,"['쌍방울', '티비에이치글로벌']",[]
171,20190731,['남영비비안'],[]
172,20190802,['국보'],[]
173,20190805,"['대양금속', '신성통상']",[]
174,20190806,"['CJ씨푸드', '깨끗한나라', '모나리자', '신성통상']",[]
175,20190807,"['미래산업', '에쓰씨엔지니어링', '이월드', '화천기계']",[]
176,20190808,"['이엔플러스', '한국화장품제조']",[]
177,20190812,['남성'],[]
178,20190814,['CJ씨푸드'],[]
179,20190821,"['인스코비', '티웨이홀딩스']",[]
180,20190822,['우진'],[]
181,20190826,['삼성제약'],[]
182,20190829,['신화실업'],[]
183,20190830,['평화산업'],[]
184,20190902,['화천기계'],[]
185,20190903,['롯데손해보험'],[]
186,20190904,['화천기계'],[]
187,20190905,"['고려산업', '삼부토건']",[]
188,20190906,['한국프랜지공업'],[]
189,20190910,['부산산업'],[]
190,20190916,"['한국석유공업', '한창']",[]
191,20190917,"['마니커', '우성사료', '체시스', '태경비케이']",[]
192,20190918,"['체시스', '태경비케이']",[]
193,20190919,['대양금속'],[]
194,20190920,['체시스'],[]
195,20190924,['대우부품'],[]
196,20191007,['이연제약'],[]
197,20191008,['에이프로젠제약'],[]
198,20191010,['에이프로젠제약'],[]
199,20191011,"['웅진', '웅진씽크빅']",[]
200,20191014,"['웅진', '필룩스']",[]
201,20191018,['남영비비안'],[]
202,20191021,"['남영비비안', '대양금속', '두산솔루스', '두산퓨얼셀']",[]
203,20191022,"['두산솔루스', '삼성출판사']",[]
204,20191023,"['두산솔루스', '진흥기업']",[]
205,20191024,"['두산솔루스', '삼성출판사']",[]
206,20191029,['이월드'],[]
207,20191031,['이엔플러스'],[]
208,20191101,['비티원'],[]
209,20191104,"['금호전기', '필룩스']",[]
210,20191106,['태양금속공업'],[]
211,20191107,"['인스코비', '흥아해운']",[]
212,20191108,['아시아나IDT'],[]
213,20191111,"['남선알미늄', '아시아나IDT']",[]
214,20191112,"['HDC아이콘트롤스', '에어부산']",[]
215,20191113,"['STX중공업', '남영비비안']",[]
216,20191114,"['넥스트사이언스', '한국특수형강']",[]
217,20191115,"['넥스트사이언스', '흥아해운']",[]
218,20191118,['흥아해운'],[]
219,20191119,['성안'],[]
220,20191121,['성안'],[]
221,20191126,['센트랄모텍'],[]
222,20191127,"['SK디스커버리', 'SK케미칼', '센트랄모텍']",[]
223,20191128,['삼성출판사'],[]
224,20191129,['한국화장품'],[]
225,20191206,['일진홀딩스'],[]
226,20191209,['코스모화학'],[]
227,20191210,['에이프로젠제약'],[]
228,20191212,"['삼성출판사', '컨버즈']",[]
229,20191213,['컨버즈'],[]
230,20191217,['서원'],[]
231,20191218,['범양건영'],[]
232,20191219,"['성안', '주연테크']",[]
233,20191220,['영풍제지'],[]
234,20191223,['진양폴리우레탄'],[]
235,20200102,['써니전자'],[]
236,20200103,['센트랄모텍'],[]
237,20200106,"['극동유화', '한국석유공업']",[]
238,20200108,['퍼스텍'],[]
239,20200113,['서원'],[]
240,20200116,['비케이탑스'],[]
241,20200117,['청호컴넷'],[]
242,20200120,"['백광산업', '진원생명과학']",[]
243,20200121,['깨끗한나라'],[]
244,20200122,"['모나리자', '진원생명과학']",[]
245,20200128,"['국제약품', '깨끗한나라', '모나리자', '쌍방울', '진원생명과학']",[]
246,20200129,['센트랄모텍'],[]
247,20200131,['서연'],[]
248,20200204,['서연'],[]
249,20200205,['신풍제약'],[]
250,20200206,['에이프로젠제약'],[]
251,20200207,['태양금속공업'],[]
252,20200212,"['모나미', '지코']",[]
253,20200214,['디피씨'],[]
254,20200219,"['깨끗한나라', '모나리자']",[]
255,20200220,['MH에탄올'],[]
256,20200221,"['MH에탄올', '비상교육']",[]
257,20200224,"['CJ씨푸드', '동방', '사조오양', '서울식품공업', '한익스프레스']",[]
258,20200228,['동양'],[]
259,20200303,['진원생명과학'],[]
260,20200304,['국동'],[]
261,20200305,"['국동', '흥아해운']",[]
262,20200306,"['지코', '청호컴넷']",[]
263,20200310,['부광약품'],[]
264,20200313,"['KR모터스', '일양약품']",[]
265,20200318,['국동'],[]
266,20200320,"['AK홀딩스', 'LG이노텍', '국보', '금호석유화학', '삼성출판사', '세진중공업', '지누스', '한진칼']",[]
267,20200324,"['JW중외제약', '서연']",[]
268,20200325,"['금호에이치티', '진에어', '한국특수형강', '한화생명', '휠라홀딩스']",[]
269,20200326,"['국보', '대상홀딩스', '신풍제약', '체시스', '파미셀']",[]
270,20200327,"['유나이티드', '지코', '컨버즈', '한진칼']",[]
271,20200330,"['대교', '부국철강', '비상교육', '진원생명과학', '한진칼', '한창제지']",[]
272,20200331,"['경농', '부광약품', '부산산업', '조비', '진원생명과학']",[]
273,20200401,"['CJ씨푸드', '빙그레', '우리들제약', '우리들휴브레인', '하이트론씨스템즈', '해태제과식품']",[]
274,20200402,['코오롱머티리얼'],[]
275,20200403,"['신풍제약', '태평양물산']",[]
276,20200406,"['LG상사', '신풍제약', '우성사료', '체시스']",[]
277,20200407,"['제일파마홀딩스', '진원생명과학', '청호컴넷']",[]
278,20200408,"['국제약품', '페이퍼코리아']",[]
279,20200409,"['경방', '영화금속', '영흥', '페이퍼코리아', '한진']",[]
280,20200413,"['코오롱', '코오롱글로벌', '코오롱머티리얼', '코오롱플라스틱', '화천기계']",[]
281,20200414,"['이수화학', '제일파마홀딩스', '코오롱']",[]
282,20200420,['파미셀'],[]
283,20200421,"['남광토건', '동화약품', '한진중공업', '한진중공업홀딩스']",[]
284,20200422,['대웅'],[]
285,20200423,['동일고무벨트'],[]
286,20200424,"['STX엔진', '에이프로젠 KIC', '에이프로젠제약']",[]
287,20200427,"['고려산업', '에이프로젠 KIC', '에이프로젠제약', '한국프랜지공업']",[]
288,20200428,"['덕성', '디피씨', '롯데지주']",[]
289,20200429,['유진증권'],[]
290,20200504,"['유니온', '파미셀']",[]
291,20200511,['두산퓨얼셀'],[]
292,20200512,['현대리바트'],[]
293,20200513,['국동'],[]
294,20200514,['제일약품'],[]
295,20200515,"['메타랩스', '명문제약', '샘표식품', '제일약품', '제일파마홀딩스']",[]
296,20200522,"['디아이씨', '유니온머티리얼']",[]
297,20200525,['국보'],[]
298,20200526,"['NI스틸', 'TCC스틸', '문배철강']",[]
299,20200527,['티비에이치글로벌'],[]
300,20200528,['일양약품'],[]
301,20200529,['고려산업'],[]
302,20200602,"['CS홀딩스', '엔케이', '조선선재']",[]
303,20200603,"['고려제강', '동국제강', '세아베스틸', '조선선재', '포스코강판']",[]
304,20200604,['신성통상'],[]
305,20200605,"['대웅', '대웅제약', '동화약품']",[]
306,20200608,"['일양약품', '한성기업']",[]
307,20200609,"['신풍제약', '제일약품', '제일파마홀딩스']",[]
308,20200610,"['LS네트웍스', '일정실업']",[]
309,20200611,['현대약품'],[]
310,20200615,"['SK증권', '일정실업']",[]
311,20200616,['두산인프라코어'],[]
312,20200617,"['금양', '휴니드테크놀러지스']",[]
313,20200618,"['전방', '퍼스텍', '휴니드테크놀러지스']",[]
314,20200619,"['CS홀딩스', '모나미', '세기상사', '신성통상', '쌍용자동차', '전방', '조선선재', '천일고속']",[]
315,20200622,"['쌍용자동차', '이엔플러스']",[]
316,20200623,"['두산퓨얼셀', '쌍용자동차']",[]
317,20200624,['우리들휴브레인'],[]
318,20200625,['덕양산업'],[]
319,20200629,['YG PLUS'],[]
320,20200630,"['YG PLUS', '잇츠한불', '체시스', '한국화장품', '한국화장품제조']",[]
321,20200702,['YG PLUS'],[]
322,20200703,"['SG충방', '에스케이바이오팜']",[]
323,20200706,"['덕양산업', '에스케이바이오팜']",[]
324,20200707,"['삼아알미늄', '페이퍼코리아']",[]
325,20200710,"['진양산업', '진양화학']",[]
326,20200713,"['드림텍', '세종공업', '코오롱머티리얼', '한성기업']",[]
327,20200715,"['대덕전자', '코오롱머티리얼']",[]
328,20200716,['형지엘리트'],[]
329,20200720,"['대양금속', '신풍제약']",[]
330,20200721,"['OCI', '국제약품', '두산중공업', '삼양사', '삼양홀딩스', '전방']",[]
331,20200722,"['SK디스커버리', 'SK케미칼', '신풍제약']",[]
332,20200723,"['유니온', '전방', '제일약품', '제일파마홀딩스']",[]
333,20200724,"['계룡건설산업', '영진약품', '유니온']",[]
334,20200727,"['광전자', '모나미']",[]
335,20200728,"['아시아나IDT', '한미사이언스']",[]
336,20200729,['제일약품'],[]
337,20200730,['한국테크놀로지그룹'],[]
338,20200731,['드림텍'],[]
339,20200803,"['MH에탄올', '드림텍', '우리들제약']",[]
340,20200804,"['우리들제약', '종근당', '종근당바이오', '하나제약']",[]
341,20200805,"['종근당바이오', '한미사이언스', '한미약품']",[]
342,20200806,['대웅'],[]
343,20200807,"['KG케미칼', '청호컴넷']",[]
344,20200810,"['SK디스커버리', '알루코', '청호컴넷']",[]
345,20200811,"['부산주공', '알루코']",[]
346,20200812,"['덕양산업', '알루코', '인지컨트롤스']",[]
347,20200813,"['TCC스틸', '알루코']",[]
348,20200814,"['모토닉', '오리엔트바이오']",[]
349,20200818,['우리들제약'],[]
350,20200819,"['국제약품', '우리들제약', '유나이티드']",[]
351,20200820,"['쎌마테라퓨틱스', '우리들제약', '우리들휴브레인', '유나이티드', '진원생명과학']",[]
352,20200824,"['유나이티드', '진원생명과학']",[]
353,20200825,"['오리엔트바이오', '우리들휴브레인', '진원생명과학', '한국테크놀로지그룹']",[]
354,20200826,"['유엔젤', '진원생명과학']",[]
355,20200827,"['금호에이치티', '코오롱글로벌']",[]
356,20200828,"['부산주공', '코오롱글로벌', '한익스프레스']",[]
357,20200831,"['KEC', '사조씨푸드', '사조오양', '한국전자홀딩스']",[]
358,20200901,"['KEC', 'STX중공업', '모토닉', '코오롱머티리얼', '한국전자홀딩스']",[]
359,20200902,"['STX', 'STX엔진', 'STX중공업', '영진약품', '우신시스템']",[]
360,20200904,"['신성이엔지', '유나이티드', '현대에너지솔루션']",[]
361,20200907,"['DSR', '두산퓨얼셀', '세진중공업']",[]
362,20200908,['세진중공업'],[]
363,20200909,['한솔홈데코'],[]
364,20200910,"['대유에이텍', '대유플러스']",[]
365,20200911,['보락'],[]
