,date,상한가,다음날수익률
0,20180411,"['필룩스', '체시스']",[]
1,20180413,['컨버즈'],[]
2,20180416,"['도화엔지니어링', '컨버즈']",[]
3,20180417,"['넥스트사이언스', '이엔플러스']",[]
4,20180418,['코아스'],[]
5,20180419,"['현대건설우', '남광토건', '범양건영', '한일현대시멘트', '한라', '다스코']",[]
6,20180420,"['현대건설우', '금호에이치티']",[]
7,20180423,"['삼부토건', '혜인', '한국석유', '동부건설우', '신원우', '일성건설', '수산중공업']",[]
8,20180424,['동부건설우'],[]
9,20180425,"['진흥기업2우B', '금호산업우', '퍼스텍']",[]
10,20180426,"['쌍용양회우', '신원우']",[]
11,20180430,"['현대건설우', '한국석유', '동양철관', '부산산업', '한라', '동아지질', '현대로템', '대호에이엘', '하이스틸']",[]
12,20180502,"['현대건설우', '조비', '경농', '부산산업', '체시스']",[]
13,20180503,"['부산산업', '콤텍시스템', '컨버즈']",[]
14,20180504,"['현대건설우', '전방', '선창산업', '현대비앤지스틸우', '이건산업', '한솔홈데코']",[]
15,20180508,"['현대건설우', '쌍용양회우', '현대비앤지스틸우', '남선알미늄', '남선알미우', '삼성중공우', '부산산업', '금강공업우', 'KG동부제철우', '조선선재']",[]
16,20180509,"['흥국화재2우B', '금호산업우', '현대비앤지스틸우', '파미셀', '남선알미우', '삼성중공우', '계양전기우', '금강공업우', 'KG동부제철우']",[]
17,20180510,"['국보', '알루코', '현대비앤지스틸우', '계양전기우']",[]
18,20180511,"['덕성우', '대원전선우', '계양전기우']",[]
19,20180514,"['성신양회', '성신양회우', '대원전선', '대원전선우', '한일현대시멘트', '태영건설우', '현대상사', '계양전기우', '현대코퍼레이션홀딩스']",[]
20,20180515,"['만호제강', '대한전선', '성신양회우', '대양금속', '계양전기우']",[]
21,20180516,"['흥국화재2우B', '대양금속']",[]
22,20180517,"['보락', '현대비앤지스틸우', '성신양회우', '대원전선우', '계양전기우']",[]
23,20180518,"['JW중외제약우', '보락', '깨끗한나라', '깨끗한나라우', '성신양회우', '계양전기우', '신풍제약우']",[]
24,20180521,"['동양우', '동양2우B', '동양3우B', '태양금속우', '깨끗한나라', '깨끗한나라우', '덕성우', '성신양회우', '크라운해태홀딩스우', '우리종금', '성문전자우', '신풍제약우', '노루페인트우']",[]
25,20180523,"['DB하이텍1우', '동양우', '동양2우B', '동양3우B', '깨끗한나라우', '덕성우', '우리종금']",[]
26,20180524,"['폴루스바이오팜', '우진']",[]
27,20180525,"['동양우', '깨끗한나라우']",[]
28,20180528,"['현대건설', '현대건설우', '국보', '남광토건', '동양우', '동양2우B', '조비', '도화엔지니어링', '혜인', '한일홀딩스', '쌍용양회', '쌍용양회우', '현대비앤지스틸우', '성신양회', '성신양회우', '대원전선', '대원전선우', '한일현대시멘트', '일신석재', '선도전기', '동양철관', '신원', '신원우', '부산산업', '현대상사', '일성건설', '계룡건설', '한라', '인디에프', '광명전기', '현대엘리베이', '남해화학', '동아지질', '현대로템', '대호에이엘', '하이스틸', '조선선재']",[]
29,20180529,"['부산산업', '이스타코']",[]
30,20180530,"['이스타코', '대호에이엘']",[]
31,20180531,"['SK네트웍스우', '금호산업우', '한국석유', '남선알미우', '삼성중공우', 'KEC']",[]
32,20180604,"['국보', '웰바이오텍']",[]
33,20180605,['퍼스텍'],[]
34,20180607,"['한화우', '인스코비', '큐로', '신풍제약우', 'STX엔진']",[]
35,20180611,"['현대건설우', '조비', '현대비앤지스틸우', '한일현대시멘트', '마니커', '비티원']",[]
36,20180612,['마니커'],[]
37,20180614,"['삼일제약', '한화우', '덕성우']",[]
38,20180615,"['태원물산', '경농']",[]
39,20180618,"['휴스틸', '문배철강', '금강공업우', 'KODEX China H선물인버스(H)']",[]
40,20180619,['동방'],[]
41,20180620,"['삼화전기', '부국철강']",[]
42,20180621,['동원수산'],[]
